area,bedrooms,bathrooms,stories,parking,age,city_tier,country,city,location,mainroad,furnishingstatus,price
1998,3,2,1,3,48,3,Peru,Cusco,suburban,no,semi-furnished,112800
1124,2,1,4,2,8,4,Kenya,Kisumu,prime,yes,furnished,133500
2288,1,1,3,0,2,3,China,Xi'an,urban,yes,semi-furnished,500600
2411,1,1,2,1,46,3,Sweden,Uppsala,urban,yes,semi-furnished,365000
532,3,3,1,2,7,3,Nepal,Pokhara,urban,yes,furnished,73500
954,4,3,2,2,21,4,Japan,Sendai,suburban,no,furnished,329900
1883,3,2,2,3,42,2,Malaysia,Penang,suburban,no,furnished,210100
1594,4,4,3,2,46,2,Bangladesh,Chittagong,suburban,yes,unfurnished,92100
1789,2,1,2,3,41,4,Ireland,Limerick,prime,yes,furnished,399200
1246,5,4,4,3,41,2,India,Noida,urban,no,unfurnished,134900
2372,5,4,1,3,22,3,Qatar,Al Rayyan,rural,yes,unfurnished,399600
2306,5,4,3,0,55,2,China,Nanjing,suburban,no,furnished,317200
1843,4,4,1,1,13,2,New Zealand,Wellington,rural,no,semi-furnished,459800
2533,4,4,1,1,4,1,Norway,Oslo,urban,yes,semi-furnished,1443200
2104,1,1,4,0,50,2,India,Noida,suburban,yes,semi-furnished,108500
1241,1,1,4,2,38,2,Nepal,Lalitpur,suburban,no,unfurnished,63500
2040,1,1,4,0,31,4,Colombia,Barranquilla,urban,yes,unfurnished,129300
1177,3,2,3,2,47,1,India,Delhi,rural,yes,semi-furnished,109200
2371,3,3,1,1,43,2,Portugal,Porto,urban,yes,unfurnished,418400
1768,1,1,4,1,17,4,Portugal,Braga,suburban,no,furnished,256500
1680,4,3,4,0,1,2,USA,San Diego,suburban,no,semi-furnished,1020900
1357,3,2,3,1,44,2,China,Nanjing,suburban,yes,furnished,301500
2595,3,3,4,1,42,3,New Zealand,Christchurch,urban,yes,semi-furnished,497200
1700,5,4,2,3,17,3,South Korea,Daegu,urban,yes,furnished,553300
1522,3,3,4,0,20,2,Pakistan,Lahore,prime,no,semi-furnished,138100
1571,1,1,4,0,38,2,Australia,Brisbane,urban,no,semi-furnished,420800
2146,4,3,1,1,3,4,Canada,Winnipeg,suburban,no,unfurnished,425000
2038,5,4,1,2,40,2,Brazil,Brasilia,urban,yes,furnished,254300
2068,1,1,4,3,10,1,Nigeria,Lagos,suburban,yes,semi-furnished,266800
2080,3,2,3,3,53,3,Argentina,Cordoba,prime,yes,furnished,207600
3192,3,3,2,2,8,3,Australia,Gold Coast,urban,yes,furnished,878500
1536,1,1,3,1,57,3,Bangladesh,Narayanganj,suburban,no,semi-furnished,43300
1467,2,1,1,2,26,3,Thailand,Pattaya,suburban,yes,semi-furnished,143200
1271,5,4,1,1,59,2,Australia,Canberra,suburban,no,semi-furnished,408400
2200,2,1,1,2,47,2,Germany,Hamburg,urban,yes,semi-furnished,454200
2534,3,3,1,2,41,4,France,Nantes,rural,yes,furnished,345300
1726,4,3,1,3,11,2,France,Lyon,suburban,yes,unfurnished,789200
1254,3,3,1,3,34,4,India,Bhopal,rural,yes,semi-furnished,60000
1264,5,4,4,3,12,1,Spain,Barcelona,prime,yes,furnished,1056200
2223,3,3,1,3,40,1,Philippines,Makati,prime,no,semi-furnished,350500
2283,5,4,1,1,22,4,Vietnam,Can Tho,suburban,yes,unfurnished,142800
2153,1,1,2,1,44,3,Pakistan,Rawalpindi,suburban,yes,unfurnished,62400
1367,5,4,3,1,18,3,Canada,Edmonton,urban,yes,semi-furnished,673000
1951,1,1,3,1,48,1,UAE,Dubai,prime,yes,semi-furnished,575200
1876,5,4,1,0,29,4,Germany,Leipzig,prime,yes,unfurnished,483800
1942,4,4,1,1,17,3,Sri Lanka,Galle,suburban,no,unfurnished,129300
2366,3,3,1,3,59,4,India,Patna,urban,yes,semi-furnished,79600
1945,5,4,1,0,42,4,Malaysia,Kuching,suburban,no,furnished,141800
2241,4,4,1,3,13,2,China,Nanjing,urban,yes,unfurnished,678200
1844,4,4,4,0,11,2,India,Noida,urban,yes,unfurnished,206500
1988,4,4,3,0,49,3,Norway,Trondheim,suburban,yes,unfurnished,406600
2210,5,4,1,3,6,1,Thailand,Bangkok,prime,yes,furnished,698800
853,2,1,1,2,6,2,Netherlands,Rotterdam,rural,yes,semi-furnished,398600
1592,5,4,4,1,47,4,UAE,Al Ain,urban,no,unfurnished,236400
1494,3,2,3,0,7,4,USA,Memphis,rural,yes,furnished,423900
